citizenship,1996_x,2001_x,2014_x,1996_y,2001_y,2014_y,1996 rm proportion,2001 rm proportion,2014 rm proportion
St. Kitts and Nevis,0,0,1,43582,46188,51538,0.0,0.0,1.9403158834258216e-05
Swaziland,0,0,1,1032455,1169520,1419623,0.0,0.0,7.044123686358984e-07
Sweden,3,5,19,8892234,8948312,9723809,3.3737303809144024e-07,5.587646027541283e-07,1.953966804572159e-06
Switzerland,13,16,22,7188778,7312215,8061516,1.8083741075326015e-06,2.1881194685878355e-06,2.7290152373325313e-06
Taiwan,7,5,28,21457706,22341406,23359928,3.262231293503602e-07,2.237997017734694e-07,1.1986338314056448e-06
Tanzania,0,0,1,29674398,34190566,49639138,0.0,0.0,2.0145394144434982e-08
Thailand,10,2,11,60530767,63394597,67741401,1.6520524182355066e-07,3.154842990799358e-08,1.623822335767753e-07
Turkey,3,5,24,62229966,66895864,78401967,4.8208286020917964e-08,7.47430364304735e-08,3.0611476877869657e-07
Uganda,0,0,1,20197441,23637605,35918915,0.0,0.0,2.7840484602611186e-08
Ukraine,0,0,9,50813392,48520343,44943869,0.0,0.0,2.0024978267892334e-07
United Arab Emirates,0,1,4,2599579,3387327,5628805,0.0,2.952180288469345e-07,7.106304091188094e-07
United Kingdom,6,12,47,58344567,59374727,63742977,1.0283733873627e-07,2.0210619242089316e-07,7.373361303787239e-07
United States,135,269,499,269394284,284968955,318907401,5.011242183594363e-07,9.439624747895784e-07,1.564717527518278e-06
Venezuela,2,2,3,22519111,24673364,30111977,8.881345271578439e-08,8.105907244751871e-08,9.962813135783147e-08
Vietnam,0,0,1,74946552,80209475,93421835,0.0,0.0,1.0704135708745176e-08
